City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,yarmouth,41.7057,-70.2286,16.09,83,100,3.09,US,1697662679
286,trairi,-3.2778,-39.2689,26.0,70,25,3.86,BR,1697662854
287,tura,25.5198,90.2201,19.71,89,0,1.32,IN,1697662927
288,hithadhoo,-0.6,73.0833,26.52,82,69,3.34,MV,1697662927
289,gandajika,-6.75,23.95,21.76,82,96,0.09,CD,1697662927
290,inari,68.906,27.0288,-2.89,96,46,1.68,FI,1697662927
291,parnamirim,-5.9156,-35.2628,27.19,69,40,7.72,BR,1697662928
292,imbituba,-28.24,-48.6703,19.94,82,100,2.99,BR,1697662928
293,kenora,49.8167,-94.4337,10.54,100,100,2.57,CA,1697662928
294,azogues,-2.7333,-78.8333,18.97,80,99,3.22,EC,1697662928
295,mancio lima,-7.6142,-72.8958,32.04,58,40,1.54,BR,1697662928
296,ahmadpur east,29.1431,71.2598,25.28,47,31,2.53,PK,1697662929
297,navalgund,15.5667,75.3667,24.63,53,44,2.43,IN,1697662929
298,mokhsogollokh,61.4681,128.9203,-4.87,87,100,4.04,RU,1697662929
299,mejit,10.2753,170.8646,28.35,77,36,7.19,MH,1697662929
300,manapparai,10.6,78.4167,25.48,87,99,1.04,IN,1697662929
301,waddan,29.1614,16.139,25.52,19,0,3.38,LY,1697662929
302,boali,4.8005,18.1275,23.03,91,85,0.59,CF,1697662929
303,yuzhno-kurilsk,44.0306,145.8556,14.1,58,99,7.47,RU,1697662929
304,mirnyy,62.5353,113.9611,-13.29,98,47,1.57,RU,1697662930
305,gilgit,35.9221,74.3087,13.62,56,47,0.93,PK,1697662930
306,pathein,16.7833,94.7333,24.44,91,21,1.33,MM,1697662930
307,fisterra,42.9049,-9.2629,19.3,85,2,10.44,ES,1697662930
308,mumford,5.2618,-0.759,25.98,86,100,2.91,GH,1697662930
309,katsuren-haebaru,26.3369,127.8719,23.43,72,0,2.06,JP,1697662930
310,tarakan,3.3,117.6333,26.39,82,94,1.6,ID,1697662930
311,kayes,14.0,-11.0,31.16,40,98,1.06,ML,1697662930
312,fortaleza,-3.7227,-38.5247,27.07,74,20,4.63,BR,1697662800
313,albertina,-22.2008,-46.6158,23.41,66,55,3.42,BR,1697662931
314,stanley,54.868,-1.6985,11.55,87,40,6.17,GB,1697662931
